wallet,requested_period,code,msg,data.twitter_bind,data.twitter_fans_num,data.twitter_username,data.twitter_name,data.ens,data.avatar,data.name,data.eth_balance,data.sol_balance,data.trx_balance,data.bnb_balance,data.balance,data.total_value,data.unrealized_profit,data.unrealized_pnl,data.realized_profit,data.pnl,data.pnl_1d,data.pnl_7d,data.pnl_30d,data.realized_profit_1d,data.realized_profit_7d,data.realized_profit_30d,data.winrate,data.all_pnl,data.total_profit,data.total_profit_pnl,data.buy_1d,data.sell_1d,data.buy_30d,data.sell_30d,data.buy_7d,data.sell_7d,data.buy,data.sell,data.history_bought_cost,data.token_avg_cost,data.token_sold_avg_profit,data.token_num,data.profit_num,data.pnl_lt_minus_dot5_num,data.pnl_minus_dot5_0x_num,data.pnl_lt_2x_num,data.pnl_2x_5x_num,data.pnl_gt_5x_num,data.last_active_timestamp,data.tags,data.tag_rank.axiom,data.followers_count,data.is_contract,data.updated_at,data.refresh_requested_at,data.avg_holding_peroid,data.risk.token_active,data.risk.token_honeypot,data.risk.token_honeypot_ratio,data.risk.no_buy_hold,data.risk.no_buy_hold_ratio,data.risk.sell_pass_buy,data.risk.sell_pass_buy_ratio,data.risk.fast_tx,data.risk.fast_tx_ratio,data.tag_rank.gmgn,data.tag_rank.photon,data.tag_rank.kol
5xVpr2eKDMPE5KxqmwnRguMGZn6wYNsVUP7v5Nsn9bGo,30d,0,success,False,0,,,,,,263.10727124,263.10727124,263.10727124,263.10727124,263.10727124,0,0,0,40122.004248493344,0.3389997549079786,0,0.3492654544397324,0.3389997549079786,0,15784.072585157135,40122.004248493344,,0.14691944516320576,186993.6414997289,0.14691944516320576,0,0,453,1007,137,414,453,1007,,,,,,,,,,,1787795128,"[""axiom""]",,0,False,1787795128,,,19,0,0,20,0.5128205128205128,0,0,3,0.15789473684210525,,,
5xVpr2eKDMPE5KxqmwnRguMGZn6wYNsVUP7v5Nsn9bGo,7d,0,success,False,0,,,,,,263.10727124,263.10727124,263.10727124,263.10727124,263.10727124,0,0,0,40122.004248493344,0.3492654544397324,0,0.3492654544397324,0.3389997549079786,0,15784.072585157135,40122.004248493344,,0.14691944516320576,186993.6414997289,0.14691944516320576,0,0,453,1007,137,414,137,414,,,,,,,,,,,1787795128,"[""axiom""]",,0,False,1787795128,,,19,0,0,20,0.5128205128205128,0,0,3,0.15789473684210525,,,
BpkUrCNKAiiSx9m5jnUCTEQsqPnftGVwzNA6tP4YQU97,7d,0,success,False,0,,,,,,2.373850646,2.373850646,2.373850646,2.373850646,2.373850646,0,0,0,22366.245635546118,1.300041068382678,0,1.300041068382678,1.0373300874019682,0,17393.89603017331,22366.245635546118,,0.706830444630147,20484.917643481836,0.706830444630147,0,0,311,210,119,77,119,77,,,,,,,,,,,1787788772,"[""axiom""]",,0,False,1787788772,,,,,,,,,,,,,,
BpkUrCNKAiiSx9m5jnUCTEQsqPnftGVwzNA6tP4YQU97,30d,0,success,False,0,,,,,,2.373850646,2.373850646,2.373850646,2.373850646,2.373850646,0,0,0,22366.245635546118,1.0373300874019682,0,1.300041068382678,1.0373300874019682,0,17393.89603017331,22366.245635546118,,0.706830444630147,20484.917643481836,0.706830444630147,0,0,311,210,119,77,311,210,,,,,,,,,,,1787788772,"[""axiom""]",,0,False,1787788772,,,,,,,,,,,,,,
5ih6q7x839yQR18UvgsyB7n23i4he4wyEzsD3TSu6tr3,30d,0,success,False,0,,,,,,4.650701471,4.650701471,4.650701471,4.650701471,4.650701471,0,25.96113440884075,0.000391522100189006,10791.004888727966,0.15892573015585304,0,0.1645591340615349,0.15892573015585304,0,11051.858393767103,10791.004888727966,,0.15892573015585304,10816.966023136807,0.15930807566344418,0,0,364,469,357,464,364,469,,,,,,,,,,,1787779956,[],,0,False,1787779956,,,,,,,,,,,,,,
5ih6q7x839yQR18UvgsyB7n23i4he4wyEzsD3TSu6tr3,7d,0,success,False,0,,,,,,4.650701471,4.650701471,4.650701471,4.650701471,4.650701471,0,25.96113440884075,0.000391522100189006,10791.004888727966,0.1645591340615349,0,0.1645591340615349,0.15892573015585304,0,11051.858393767103,10791.004888727966,,0.15892573015585304,10816.966023136807,0.15930807566344418,0,0,364,469,357,464,357,464,,,,,,,,,,,1787779956,[],,0,False,1787779956,,,,,,,,,,,,,,
EDXHdSFdadFbYFFjxPXBqMe1kCEDFqpPu552uvp48HR8,7d,0,success,True,2250,ClownsTrenches,Clown,,https://gmgn.ai/defi/images/twitter/56f58a9ca6936a2fa372dc864265785a.jpg,Clown,89.032711496,89.032711496,89.032711496,89.032711496,89.032711496,0,0,0,40839.43375412514,0.034560146396172636,0,0.034560146396172636,0.04597618609896677,0,10620.560147788141,40839.43375412514,,0.016121962734852727,122867.48748076583,0.016121962734852727,0,0,10407,6305,3106,1780,3106,1780,,,,,,,,,,,1787796225,"[""axiom"", ""gmgn""]",,2250,False,1787796225,,,275,0,0,1,0.0036231884057971015,4,0.014545454545454545,6,0.02181818181818182,,,
EDXHdSFdadFbYFFjxPXBqMe1kCEDFqpPu552uvp48HR8,30d,0,success,True,2250,ClownsTrenches,Clown,,https://gmgn.ai/defi/images/twitter/56f58a9ca6936a2fa372dc864265785a.jpg,Clown,89.032711496,89.032711496,89.032711496,89.032711496,89.032711496,0,0,0,40839.43375412514,0.04597618609896677,0,0.034560146396172636,0.04597618609896677,0,10620.560147788141,40839.43375412514,,0.016121962734852727,122867.48748076583,0.016121962734852727,0,0,10407,6305,3106,1780,10407,6305,,,,,,,,,,,1787796225,"[""axiom"", ""gmgn""]",,2250,False,1787796225,,,813,0,0,1,0.0012285012285012285,32,0.03936039360393604,23,0.028290282902829027,,,
HX8jXnkcQW3KaEtQHeXmwZKfZbUtbN8JUaydG5jscw5V,7d,0,success,False,0,,,,,,0.040392966,0.040392966,0.040392966,0.040392966,0.040392966,0,0,0,27744.204676527126,0.06659311910669266,0,0.06659311910669266,0.2011395808022803,0,3073.172300309044,27744.204676527126,,0.20113958080228034,27744.204676527126,0.20113958080228034,0,0,571,415,193,119,193,119,,,,,,,,,,,1787793209,[],,0,False,,,,,,,,,,,,,,,
HX8jXnkcQW3KaEtQHeXmwZKfZbUtbN8JUaydG5jscw5V,30d,0,success,False,0,,,,,,0.040392966,0.040392966,0.040392966,0.040392966,0.040392966,0,0,0,27744.204676527126,0.2011395808022803,0,0.06659311910669266,0.2011395808022803,0,3073.172300309044,27744.204676527126,,0.20113958080228034,27744.204676527126,0.20113958080228034,0,0,571,415,193,119,571,415,,,,,,,,,,,1787793209,[],,0,False,,,,,,,,,,,,,,,
