wallet,late_signal_score,total_profit_pnl,realized_profit_7d,realized_profit_30d,winrate,sol_balance,buy_7d,sell_7d,buy_30d,sell_30d,avg_holding_period_seconds,tags
EDXHdSFdadFbYFFjxPXBqMe1kCEDFqpPu552uvp48HR8,362.969824860043,0.016121962734852727,10620.560147788141,40839.43375412514,,94.033041496,3104,1780,10405,6305,,"['axiom', 'gmgn']"
J9kq1ZG94X4ujaWeodSLK8Cv5fjQRAU27zeT5SiC74cP,337.201973626177,0.05070927699477797,-46.226967763450126,4003.230391438357,,7.346604511,51,24,340,171,,[]
ArhaoyHT6D7PsumcAN7uPNg5cocAyEjhufs5uHnJvyuS,218.82926858397298,0.33838812957172015,-166.20229891866546,7113.163538886339,,0.31449011,139,50,179,91,,[]
5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,205.549220233771,0.006666579629164636,-16513.27620994585,20192.574852805697,,0.05139642,358,251,709,595,,['kol']
GKAyb1Jox3qzjn3EHed83x9fZM8QcVZ2gV6aYCgr7PNs,202.025021976,0.0603706813476669,-583.5702569868362,2882.609731454061,,0,11,9,146,96,,[]
5ih6q7x839yQR18UvgsyB7n23i4he4wyEzsD3TSu6tr3,182.7670892301,0.15939218235140004,11051.858393767103,10791.004888727966,,4.650701471,357,464,364,469,,[]
HX8jXnkcQW3KaEtQHeXmwZKfZbUtbN8JUaydG5jscw5V,144.643741415546,0.20113958080228034,3073.172300309044,27744.204676527126,,0.040392966,193,119,571,415,,[]
4GjtX5WVWj7qYZnbWLxs2KbECc1HkjMuCenoQKhv9cod,133.537549810646,0.08410164677144305,943.83047036583,2383.9476028845265,,5.579417468,132,141,365,382,,[]
H34MBxvixhy2gK8VqkSoQz8bdhhQU3yVQoa7YALYN2Qj,108.356731213781,0.04974343626310268,287.2615764300553,6467.78390259967,,0.013268514,232,243,1103,1140,,[]
FEDd9XS1emSFcZvfzhMQCGXa4E7WGZGxex4kgBCp8hMT,105.17285868560501,0.20390574539526335,-272.90857745520736,2585.1089601916137,,0.803784574,7,9,67,71,,"['axiom', 'photon']"
64MgDhEQzeoDrRSQ517LaamAFEWvrcxUTQrSXbEZS77L,104.565308573138,,0,0,,0.000890949,0,0,0,0,,[]
3K9qBVKVuafg65YFtnAaTgcL86bnnoi96tugNSzgizXB,99.20335968688399,0.2836237689802227,-59.31756469176,1118.35419793066,,1.031348972,2,3,13,15,,"['axiom', 'photon']"
7obWefa4XK7KPZuLKia3zLHjGBkXwuMSRdaGNtZCcbyx,93.27306779190299,0.17693256815448102,11824.36353335875,20187.386092177643,,1.319117161,130,87,346,258,,"['axiom', 'photon']"
Gmh3Wt423pU6GsS3FQyZjknifnAFW7g3J8HhbF2TrbZL,92.95500400188699,0.26212932337352823,8371.307212975073,14294.410373478926,,7.631627664,169,84,485,253,,"['axiom', 'photon']"
BpkUrCNKAiiSx9m5jnUCTEQsqPnftGVwzNA6tP4YQU97,88.152238269974,0.706830444630147,17393.89603017331,22366.245635546118,,2.373850646,119,77,311,210,,['axiom']
9GBsoKrngqmLcqf6ELncpEjVxAgGoaseuDBhVZrmtJer,85.660674063136,0.022609607537910657,7911.526097220144,6022.349395949935,,100.454633687,589,716,1840,1790,,[]
Dwgo19EJxs5GeJ5DQQ31ZmTnuF4HiWsiPNA3u86Mwcyo,84.02200069423301,-0.003514728669253006,-1124.8850405359472,-260.36460723465177,,4.237688242,450,378,1940,1773,,"['axiom', 'trojan']"
7fnq9wNj5WoMxasNcWNWS88peQjdWb1m5k8qS7grxGt2,80.99412341080199,0.13698356556755623,3140.9984467344348,9854.838128622956,,25.880107908,84,113,542,800,,['axiom']
8TuBoZZKRq3f97zpwVJnJK8Xg6fS3trDVoCTddcV49xC,77.734686740464,0.08129257703458309,1748.2341516739468,1748.2341516739468,,0.230587272,137,124,137,124,,[]
2yavzzNeqWjtUBXYR7Fx8RhdbWNHDfRcRhx6VuexLFjT,77.61400759626099,0.9053001431039193,13205.547741206805,35400.42060174659,,38.17317597,102,107,286,277,,[]
GWKMKpYoNfpFQbLuCgpRr24YXmyf35peSCNLzV6BKoLx,77.02621970983199,0.1898530643659787,837.2849082623634,9894.299941895828,,12.122986351,118,117,511,553,,"['fresh_wallet', 'gmgn']"
5xVpr2eKDMPE5KxqmwnRguMGZn6wYNsVUP7v5Nsn9bGo,75.569619692371,0.14691944516320576,15784.072585157135,40122.004248493344,,263.10727124,137,414,453,1007,,['axiom']
2dqe7VxbsajyPU1nVAJhgQYC2yGGEZLJJwW2yeNCq9rt,67.904899679135,0.024938553374368153,3816.2819628741045,5267.709566093212,,107.313577424,571,636,1434,1370,,[]
FZU56d9iPqohXM5XBrYYBZLi2UoUnZT4V5Qf2631tEzb,67.13987463544001,0.0500779983827968,-298.5481328193963,-297.80886363063377,,31.914207566,5,5,11,23,,"['axiom', 'bullx']"
9G7Vq23iCSq2GmY94exbpzckbS4UDSPt3nTn98b72bxM,66.909526352655,0.1270353643792032,2122.783870652998,8773.694970291554,,48.627259996,92,138,545,832,,[]
5Qn8BSBuyopW4KLiwaauwotHbCViVuxLiZ6dRU6XJTm4,65.484603311619,0.17746527639902013,5405.00410714333,9264.227000996749,,0.819048298,64,66,245,238,,[]
7g1wYkndRzyGrjRjfHBPiENQCYhTJUJ7cwyDSxbE2sg6,65.13568963549899,0.19364870440197854,8719.504396240713,18853.13972158289,,17.162959829,99,60,268,168,,[]
BArssVeh2wfRuLtH3LEZtdWnroS5dRuJNno9FMUCZtCK,64.978834899147,0.11835290154919839,301.8219083169161,301.8219083169161,,0.055361616,25,20,25,20,,[]
CXa2FT9Kc1n8aLZZq296XfcJXdh3yDVDNnsftKcXdDxo,64.498513993787,0.07851186334437997,181.95727192312515,3645.9973698391013,,36.983022123,278,242,1615,1295,,[]
FT7zD6eqHfq5AN7L1m1Yxa5PZp4UJYR9KKwTJCpC3hgE,64.38796594368401,0.03117929498717802,173.44083626961,2738.278473500219,,30.354280884,273,230,1527,1244,,[]
3NhNKXi1r4W6HCwbyNDY5WFHcgsboUbLjB13byb9gG2F,60.593410314287,-0.10902835767079135,-8.960826432473711,2532.1236289657663,,4.998031923,25,29,34,60,,[]
