wallet,token_account,rank,addr_type,exchange,current_balance,current_supply_pct,current_usd_value,start_holding_ts,start_holding_utc,start_minutes_before_migration,holder_timing_class,is_on_curve,is_new,is_suspicious,transfer_in,buy_volume_cur,buy_amount_cur,sell_volume_cur,sell_amount_cur,buy_tx_count_cur,sell_tx_count_cur,history_bought_cost,history_sold_income,profit,profit_change,realized_profit,unrealized_profit,avg_cost,avg_sold,native_funder,native_funding_amount,native_funding_ts,native_funding_utc,native_funding_tx,token_transfer_type,tags,maker_token_tags,gmgn_name,gmgn_twitter_username,wallet_created_ts,wallet_created_utc
58osDYARtvC5xy6GakQaBm16kDA4XwFyH4UfvtrjMvxj,5txU6v4at3Yh8PUTpRazuBkC4uMDsUfA1LNDXq2PVuSq,TOP1,2,pump_amm,175402941.185278,18.10803772504183,23880.756128434405,1787265471,2026-08-20T22:37:51+00:00,0.0,final-ten-minutes,False,False,False,False,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,,,,,top_holder,,,0,
H7JuzjJT3H1hkRBhPbWgc7o83fKdFbEtmcLJpJdFFBwm,5FuPZcp3eUGdKZqmCPcqejFsFoYegKET4kTnNzUJ4qUg,TOP2,0,,29697513.977223,3.0658762037032874,4043.2565390206773,1787655806,2026-08-25T11:03:26+00:00,-6505.583,post-migration,True,True,False,False,4207.11042523688,29697513.977223,0,0,26,0,4207.11042523688,0,-183.41161042230306,-0.04339389891455622,0,-183.41161042230306,0.00014166540769923005,,Ck18dzsQNDqAQk5CjEPNvd825sRvjD4cmWf7UqGQ1nMH,2.613622254,1787659724,2026-08-25T12:08:44+00:00,2vjp4UeUp4tZ6Qy21uRacEcEmrfQj2sa7LH54BunuXFoDREnaqcib4uK3j4R8AyuwaYARon66vcnUNSqTEtVMu8d,buy,"fomo,fresh_wallet",top_holder,,,1787659724,2026-08-25T12:08:44+00:00
5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,BvoYwBPTtafZMXSDnVPCo2XYQf4BMY2hqw2f9tugxReh,TOP3,0,,23692762.188504,2.4459648659294233,3225.7217125851985,1787753495,2026-08-26T14:11:35+00:00,-8133.733,post-migration,True,False,False,False,37734.45665904106,151098598.313598,60704.45430804665,127404693.055763,118,81,37734.45665904106,60704.45430804665,25824.915785421814,0.6777184512672696,26227.191375083312,-402.27558966149945,0.00024973399541883886,0.0004764695306905003,Fw5W9wUBcS1XT8pQWk4FWnmxS3skLgXcvCoWR5m1tHe6,0.5,1761188088,2025-10-23T02:54:48+00:00,5TcmTgaJ958eMbkqr9i4AcwEQ25YSoV5pqurXqJhzQ6u7EnFFi6novQBAt7Cw3wfRoxVK1qvRLbs9k3zHLrwBdMZ,buy,"fomo,kol","bundler,top_holder",Mystayor 兽 💹🧲,mystayor,1761188112,2025-10-23T02:55:12+00:00
EEU3kw4D5WLJsUVWCDyVc9dreYRTBoyWtwjUFL8A1Csi,F5vBsAaSmsCW9iZodQ3NZ1K1hHQpH7MipdApk2JVmNp,TOP4,0,,22461409.09151,2.3188439169730333,3058.075475762722,1787268865,2026-08-20T23:34:25+00:00,-56.567,post-migration,True,False,False,False,53676.78892612901,43702353.831008,773.81918674775,6061583.912266,48,2,53676.78892612901,773.81918674775,-46609.02637420119,-0.8666027173921207,-22151.54052329696,-24457.485850904224,0.001228235649129816,0.00012765956851341738,,,0,,,buy,"fomo,fresh_wallet","bundler,top_holder",,,0,
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,AYM3zQKW1PPZaR76eFsYtDv58Ga2zCHTmy3XJ5dNWy6G,TOP5,0,,21580061.049437,2.2278563686063744,2938.081720157528,1787716278,2026-08-26T03:51:18+00:00,-7513.45,post-migration,True,False,False,False,22980.24121926488,39278951.112666,5615.60021640743,17698890.063229,35,2,22980.24121926488,5615.60021640743,-14787.233285548622,-0.6335327104713934,-14729.96953583926,-57.2637497093624,0.0005850523134731723,0.00031728544537797506,DoAsxPQgiyAxyaJNvpAAUb2ups6rbJRdYrCPyWxwRxBb,75,1746586150,2025-05-07T02:49:10+00:00,2S2wQH5wuwhkyVDfYin37RTiQ4WaoEyPQ9YiARC5n6DAJkw1kBir8XpegnxhmSQ8Fd7BDZG6J3He85yNBkwT3b4Z,buy,"axiom,gmgn,kol,padre,photon","bundler,top_holder",OGAntD,0GAntD,1710871711,2024-03-19T18:08:31+00:00
6451zSoUiy4GZeq2vEUHb73LcDJ8eeCHXEaGSqL8K6Fj,4azQ1BuMHxNZFj3tS4DCwKkiQoggzdZtiWrhBFPk7RKK,TOP6,0,,20479862.207309,2.114275364755036,2788.2918702034617,1787777778,2026-08-26T20:56:18+00:00,-8538.45,post-migration,True,False,False,False,2327.45440710489,20479862.207309,0,0,8,0,2327.45440710489,0,458.32287198895165,0.19670771256620637,0,458.32287198895165,0.00011364599935024228,,CeZbzsqje88U7GCCrAiGUr5BrZrBJ3AkQMyG9aggDiqQ,1,1785980090,2026-08-06T01:34:50+00:00,3FkRRMBvk9bzyvh2AxpMKAMS6LftkGwfVkxHCG46EM5vVg5oDxxZ9Q6RoBUX7Sqa2tm7ha84DJvf5LpjdYT24tV3,buy,fomo,top_holder,,,1785980090,2026-08-06T01:34:50+00:00
Cfw9jAG3e7swr4TJot1pUo4FWaAaY4izyeHcL1rtZLin,H4Ew5pYfRg4ZATugYjSaoEVKr7nDQbTAg8ddodNby9fJ,TOP7,0,,20002785.587352,2.0650235028789483,2723.3388520910885,1787779407,2026-08-26T21:23:27+00:00,-8565.6,post-migration,True,False,False,False,2496.0013735341,20002785.587352,0,0,3,0,2496.0013735341,0,226.27011735704855,0.09061429275439963,0,226.27011735704855,0.00012478268902269048,,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,3.061953,1781646745,2026-06-16T21:52:25+00:00,3eQY3Ma3KkANJPEGFbwygTYAeXxqaxg3o9RK2wsEhR5tDBnANyEPTDA1N2WKiJgGC7SCiadqwh9PhMx8pCmnfJvg,buy,,top_holder,,,1781646745,2026-06-16T21:52:25+00:00
ArhaoyHT6D7PsumcAN7uPNg5cocAyEjhufs5uHnJvyuS,4VgtwTWAXRpPDrSRi4XXoEQwTtjd4f6YYLJE8VMf75JF,TOP8,0,,19551338.013554,2.0184175016228023,2661.8751768425896,1787265393,2026-08-20T22:36:33+00:00,1.3,final-ten-minutes,True,False,False,False,4380.57262157655,30057117.093541,8109.40024566863,7709545.96215,49,23,4380.57262157655,8109.40024566863,6886.688939848636,1.5612583019814135,7813.173615594882,-926.4846757462456,0.0001457416094811666,0.0010518648290679781,C7yjbE4mXGETVbU4juNt4whVD8joyvbLPnkQqrD13CpX,0.05,1786255991,2026-08-09T06:13:11+00:00,5M5uRLiC86YgU5jZZq46gvr49MMUfKkNoicWmVN8K53jQJDPoqwrdhzE7JPbRKZFULAcPKZp7nBeWrhNnYy9eGLJ,buy,fomo,"bundler,top_holder",,,1786255991,2026-08-09T06:13:11+00:00
EY5onbNPokohQMZFnm2qoFAg1wme394Tvzbg2uZyEykq,AEHoK39dPAJkDaS68HdRJ3hfxH1fw6V13eUyaWqXDRB3,TOP9,0,,18743015.359988,1.9349688604206126,2551.823680371339,1787280639,2026-08-21T02:50:39+00:00,-252.8,post-migration,True,False,False,False,8939.0816157104,18763070.862886,56.55153189656,20055.502898,60,1,8939.0816157104,56.55153189656,-6380.720227490424,-0.7098289555664095,5.73774552427,-6386.457973014694,0.00047641890184363215,0.0028197513761771343,GcmXqJWgUwY29AAdZ8kVBSNcX23QsXP8CwAtFvXxv3oR,0.134363,1787245173,2026-08-20T16:59:33+00:00,3aP23PVYKnNrnkTKK7rC9FPF7GPG36P41xo1UGn3pRARc3WzAk8C34TjToYKHEWAswzMKD3bYbT9ErdyQsJ4xtZp,buy,"fomo,fresh_wallet",top_holder,,,1787245173,2026-08-20T16:59:33+00:00
DMXdayb4p3i6feB5BkAhsLQUHyZUuxKDQP7LVfnaVzEH,HNMx8JWGMJVJGM6VaTrfwbEmLLXAaFwvvEVQqWiSpfjW,TOP10,0,,17771683.004977,1.8346916198610386,2419.5787423279485,1787716836,2026-08-26T04:00:36+00:00,-7522.75,post-migration,True,False,False,False,2742.78956561077,17771683.004977,0,0,4,0,2742.78956561077,0,-324.5386340497266,-0.11826703800772849,0,-324.5386340497266,0.00015433482382296856,,EMXJqHznGSnSzeMyigBGQNEFw4EeaNDbj1UwaFTpp3sg,44.80039,1775169528,2026-04-02T22:38:48+00:00,533sMqWGHAvfpYr7czuNSz8iZmKCnBCrwwoQnFrokp7qRqqtw8KkuC7sCkxo5vGYZfUAbYgMJ5XKdpg1cUxVvevo,buy,,top_holder,,,1775169528,2026-04-02T22:38:48+00:00
