wallet,timing_class,first_buy_ts,first_buy_utc,first_buy_days_before_migration,last_buy_ts,last_buy_utc,last_buy_minutes_before_migration,buy_count_prebond,sell_count_prebond,buy_tokens_prebond,sell_tokens_prebond,net_tokens_prebond,buy_sol_prebond,sell_sol_prebond,buy_usd_prebond,sell_usd_prebond,maker_tags,maker_token_tags,maker_event_tags,gmgn_total_trade_snapshot,gmgn_realized_profit_snapshot,gmgn_unrealized_profit_snapshot,buy_sol_7d,buy_tokens_7d,net_tokens_7d,buy_count_7d,buy_sol_24h,buy_tokens_24h,net_tokens_24h,buy_count_24h,buy_sol_6h,buy_tokens_6h,net_tokens_6h,buy_count_6h,buy_sol_1h,buy_tokens_1h,net_tokens_1h,buy_count_1h,buy_sol_30m,buy_tokens_30m,net_tokens_30m,buy_count_30m,buy_sol_10m,buy_tokens_10m,net_tokens_10m,buy_count_10m,launch_bundle,late_signal_score,currently_top_holder,holder_token_account,holder_rank,holder_addr_type,holder_exchange,holder_current_balance,holder_current_supply_pct,holder_current_usd_value,holder_start_holding_ts,holder_start_holding_utc,holder_start_minutes_before_migration,holder_holder_timing_class,holder_is_on_curve,holder_is_new,holder_is_suspicious,holder_transfer_in,holder_buy_volume_cur,holder_buy_amount_cur,holder_sell_volume_cur,holder_sell_amount_cur,holder_buy_tx_count_cur,holder_sell_tx_count_cur,holder_history_bought_cost,holder_history_sold_income,holder_profit,holder_profit_change,holder_realized_profit,holder_unrealized_profit,holder_avg_cost,holder_avg_sold,holder_native_funder,holder_native_funding_amount,holder_native_funding_ts,holder_native_funding_utc,holder_native_funding_tx,holder_token_transfer_type,holder_tags,holder_maker_token_tags,holder_gmgn_name,holder_gmgn_twitter_username,holder_wallet_created_ts,holder_wallet_created_utc
EDXHdSFdadFbYFFjxPXBqMe1kCEDFqpPu552uvp48HR8,hour-before,1787262453,2026-08-20T21:47:33+00:00,0.03493,1787264914,2026-08-20T22:28:34+00:00,9.283,21,3,67058215.220827,42374364.342784,24683850.878042996,10.909296652,6.188840311,954.61029733139,541.70544076798,"axiom,gmgn,launchpad_smart,padre","bundler,top_holder",,31,1819.933004502729,0.0,10.909296652,67058215.220827,24683850.878042996,21,10.909296652,67058215.220827,24683850.878042996,21,10.909296652,67058215.220827,24683850.878042996,21,10.909296652,67058215.220827,24683850.878042996,21,7.1527727919999995,32651276.563209,6922082.135959003,9,0.019555554,70270.550289,70270.550289,2,False,362.969824860043,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J9kq1ZG94X4ujaWeodSLK8Cv5fjQRAU27zeT5SiC74cP,final-ten-minutes,1787264943,2026-08-20T22:29:03+00:00,0.00611,1787265399,2026-08-20T22:36:39+00:00,1.2,2,1,27120529.583457,15099216.13328,12021313.450177,9.032796116,4.344482443,789.4661887372799,379.7077655182,,,,38,-292.33634723178477,0.0,9.032796116,27120529.583457,12021313.450177,2,9.032796116,27120529.583457,12021313.450177,2,9.032796116,27120529.583457,12021313.450177,2,9.032796116,27120529.583457,12021313.450177,2,9.032796116,27120529.583457,12021313.450177,2,9.032796116,27120529.583457,12021313.450177,2,False,337.201973626177,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92cwTJoGDFKSnp6Zr2taFr3sFWqs8jRvtU73qbut2win,hour-before,1787262484,2026-08-20T21:48:04+00:00,0.03457,1787262484,2026-08-20T21:48:04+00:00,49.783,1,3,65236383.126305,65236383.126305,0.0,8.888888888,8.946601517,778.31111103328,783.30976370159,"axiom,smart_degen",top_holder,,4,-19.95179971062,0.0,8.888888888,65236383.126305,0.0,1,8.888888888,65236383.126305,0.0,1,8.888888888,65236383.126305,0.0,1,8.888888888,65236383.126305,0.0,1,0,0,0,0,0,0,0,0,False,275.555555528,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArhaoyHT6D7PsumcAN7uPNg5cocAyEjhufs5uHnJvyuS,final-ten-minutes,1787265393,2026-08-20T22:36:33+00:00,0.0009,1787265393,2026-08-20T22:36:33+00:00,1.3,1,0,16294208.219973,0,16294208.219973,5.625973899,0,491.48507981664,0,fomo,,,72,7813.173615594882,0.0,5.625973899,16294208.219973,16294208.219973,1,5.625973899,16294208.219973,16294208.219973,1,5.625973899,16294208.219973,16294208.219973,1,5.625973899,16294208.219973,16294208.219973,1,5.625973899,16294208.219973,16294208.219973,1,5.625973899,16294208.219973,16294208.219973,1,False,218.82926858397298,True,4VgtwTWAXRpPDrSRi4XXoEQwTtjd4f6YYLJE8VMf75JF,TOP8,0,,19551338.013554,2.0184175016228023,2661.8751768425896,1787265393,2026-08-20T22:36:33+00:00,1.3,final-ten-minutes,True,False,False,False,4380.57262157655,30057117.093541,8109.40024566863,7709545.96215,49,23,4380.57262157655,8109.40024566863,6886.688939848636,1.5612583019814135,7813.173615594882,-926.4846757462456,0.0001457416094811666,0.0010518648290679781,C7yjbE4mXGETVbU4juNt4whVD8joyvbLPnkQqrD13CpX,0.05,1786255991,2026-08-09T06:13:11+00:00,5M5uRLiC86YgU5jZZq46gvr49MMUfKkNoicWmVN8K53jQJDPoqwrdhzE7JPbRKZFULAcPKZp7nBeWrhNnYy9eGLJ,buy,fomo,"bundler,top_holder",,,1786255991,2026-08-09T06:13:11+00:00
2yC9KPPZpVTJkGjLYYsAtk1MeN6bd11ZAvzum5jJwAYf,final-ten-minutes,1787264874,2026-08-20T22:27:54+00:00,0.00691,1787265201,2026-08-20T22:33:21+00:00,4.5,5,1,22064940.800521,22064940.800521,0.0,5.968285934,5.684668527,521.86204551387,496.8400292598,axiom,top_holder,,31,-51.18239501853,0.0,5.968285934,22064940.800521,0.0,5,5.968285934,22064940.800521,0.0,5,5.968285934,22064940.800521,0.0,5,5.968285934,22064940.800521,0.0,5,5.968285934,22064940.800521,0.0,5,5.968285934,22064940.800521,0.0,5,False,214.85829362399997,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,hour-before,1787264830,2026-08-20T22:27:10+00:00,0.00742,1787264841,2026-08-20T22:27:21+00:00,10.5,2,0,30910664.960771002,0,30910664.960771002,5.633501783,0,492.78381303711,0,"fomo,kol",top_holder,,199,26227.191375083312,0.0,5.633501783,30910664.960771002,30910664.960771002,2,5.633501783,30910664.960771002,30910664.960771002,2,5.633501783,30910664.960771002,30910664.960771002,2,5.633501783,30910664.960771002,30910664.960771002,2,5.633501783,30910664.960771002,30910664.960771002,2,0,0,0,0,False,205.549220233771,True,BvoYwBPTtafZMXSDnVPCo2XYQf4BMY2hqw2f9tugxReh,TOP3,0,,23692762.188504,2.4459648659294233,3225.7217125851985,1787753495,2026-08-26T14:11:35+00:00,-8133.733,post-migration,True,False,False,False,37734.45665904106,151098598.313598,60704.45430804665,127404693.055763,118,81,37734.45665904106,60704.45430804665,25824.915785421814,0.6777184512672696,26227.191375083312,-402.27558966149945,0.00024973399541883886,0.0004764695306905003,Fw5W9wUBcS1XT8pQWk4FWnmxS3skLgXcvCoWR5m1tHe6,0.5,1761188088,2025-10-23T02:54:48+00:00,5TcmTgaJ958eMbkqr9i4AcwEQ25YSoV5pqurXqJhzQ6u7EnFFi6novQBAt7Cw3wfRoxVK1qvRLbs9k3zHLrwBdMZ,buy,"fomo,kol","bundler,top_holder",Mystayor 兽 💹🧲,mystayor,1761188112,2025-10-23T02:55:12+00:00
GKAyb1Jox3qzjn3EHed83x9fZM8QcVZ2gV6aYCgr7PNs,final-ten-minutes,1787264906,2026-08-20T22:28:26+00:00,0.00654,1787265219,2026-08-20T22:33:39+00:00,4.2,3,1,20166166.666158002,20166166.666158,3.725290298461914e-09,5.611806166,4.625354529,490.60685983512,404.30223937989,fomo,sniper,,19,3286.98735018129,0.0,5.611806166,20166166.666158002,3.725290298461914e-09,3,5.611806166,20166166.666158002,3.725290298461914e-09,3,5.611806166,20166166.666158002,3.725290298461914e-09,3,5.611806166,20166166.666158002,3.725290298461914e-09,3,5.611806166,20166166.666158002,3.725290298461914e-09,3,5.611806166,20166166.666158002,3.725290298461914e-09,3,False,202.025021976,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ih6q7x839yQR18UvgsyB7n23i4he4wyEzsD3TSu6tr3,hour-before,1787262914,2026-08-20T21:55:14+00:00,0.02959,1787263564,2026-08-20T22:06:04+00:00,31.783,3,1,34679481.925666004,3467948.192566,31211533.733100004,4.888888887,0.732646725,427.66044427926,64.02599729775,"axiom,fresh_wallet","bundler,top_holder",,91,19297.17247981568,0.0,4.888888887,34679481.925666004,31211533.733100004,3,4.888888887,34679481.925666004,31211533.733100004,3,4.888888887,34679481.925666004,31211533.733100004,3,4.888888887,34679481.925666004,31211533.733100004,3,0,0,0,0,0,0,0,0,False,182.7670892301,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HX8jXnkcQW3KaEtQHeXmwZKfZbUtbN8JUaydG5jscw5V,final-ten-minutes,1787264986,2026-08-20T22:29:46+00:00,0.00561,1787264986,2026-08-20T22:29:46+00:00,8.083,1,0,12021519.203546,0,12021519.203546,3.683950617,0,322.12464195048,0,,,,42,14916.28444541686,0.0,3.683950617,12021519.203546,12021519.203546,1,3.683950617,12021519.203546,12021519.203546,1,3.683950617,12021519.203546,12021519.203546,1,3.683950617,12021519.203546,12021519.203546,1,3.683950617,12021519.203546,12021519.203546,1,3.683950617,12021519.203546,12021519.203546,1,False,144.643741415546,True,2LPT9wjCfpBSn2iRgTXWvTqa4yqH5wdRtTw8adLJPUiX,TOP89,0,,1856766.922192,0.1916866686867424,252.79506578725798,1787264986,2026-08-20T22:29:46+00:00,8.083,final-ten-minutes,True,False,False,False,6192.29259237873,31747994.503062,20890.78410095414,29891227.58087,17,25,6192.29259237873,20890.78410095414,14942.727067806049,2.4097860792989447,14916.28444541686,26.442622389187477,0.00019504515763291762,0.0006988934811872355,F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,1.715143796,1785055443,2026-07-26T08:44:03+00:00,2qXQrD5WqDnTEPRP4WuJpXLEvdB9C5AY6jCbwiRE5hap4jgEB37F2V1g4Y3tuW8eTENVqc8Cj39dLj4pGjb5UC4U,buy,,,,,1785055443,2026-07-26T08:44:03+00:00
B5WUg5p3VZGgEcjxWbLE8Ncsp2ZbVK1dmRDVP1xRgfLv,hour-before,1787262493,2026-08-20T21:48:13+00:00,0.03447,1787262494,2026-08-20T21:48:14+00:00,49.617,2,1,31176115.750192,31176115.750192,0.0,4.488888886,4.029974823,393.02716024089,352.78399600542,"padre,paper_hands","bundler,top_holder",,41,2891.53540132422,0.0,4.488888886,31176115.750192,0.0,2,4.488888886,31176115.750192,0.0,2,4.488888886,31176115.750192,0.0,2,4.488888886,31176115.750192,0.0,2,0,0,0,0,0,0,0,0,False,139.155555466,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
